start_betriebsstelle,ziel_betriebsstelle,mean_delay,median_delay,number_of_trips
MZS,KTO,1.7641975308641975,-0.008333333333333333,108
MZS,LIEH1,68.6,68.6,1
MZS,MAH,1.7568840579710148,-0.058333333333333334,46
MZS,MASA1,7.083333333333333,7.083333333333333,1
MZS,NESL1,-0.6333333333333333,-0.6333333333333333,1
MZS,NESU1,1.4701698513800425,0.25,157
MZS,NI H1,1.5201754385964914,0.5333333333333333,57
MZS,PU S11,3.3833333333333333,3.3833333333333333,2
MZS,SBM,45.88333333333333,45.88333333333333,1
MZS,TELH1,2.283333333333333,2.1,4
MZS,VB,120.0,120.0,1
MZS,VBO,3.4029680365296806,-0.6333333333333333,73
MZS,VPS,0.4000000000000001,0.7833333333333333,3
MZS,WI U3,2.3887249036032445,0.7166666666666667,2507
MZS,WR A2,17.007142857142856,16.733333333333334,7
N,KLSS21,2.875,2.9916666666666667,8
NB,DOK,9.016666666666667,9.016666666666667,1
NB,F,-3.066666666666667,-3.066666666666667,1
NB,MLX,7.416666666666667,6.733333333333333,3
NB,NB,-9.426016260162603,-9.7,41
NB,NW H2,7.891666666666666,7.891666666666666,2
NB,NW S31,22.333333333333332,22.333333333333332,1
NB,WBB,1.25,1.25,2
NB S14,F  S21,2.3,2.3,1
NB S14,FS H1,0.2833333333333333,0.2833333333333333,1
NB S32,MLX,0.8333333333333334,0.8333333333333334,1
NB S32,NBS,-0.7,-0.7,1
NBF,FIB,0.5318236714975846,0.075,552
NBF,FIBH1,0.9962250712250713,0.44166666666666665,234
NBF,FWA,2.216666666666667,2.216666666666667,2
NBF,FWAH1,2.533333333333333,2.533333333333333,1
NBF,GRUA1,4.0,4.0,1
NBF,GRUH2,0.06666666666666667,0.06666666666666667,2
NBF,GRUH3,0.17618705035971224,0.0,2780
NBF,NB H1A,14.633333333333333,14.633333333333333,2
NBF,OED,2.6416666666666666,2.6416666666666666,2
NBF,OEDH1,31.183333333333334,31.183333333333334,1
NBF,ORTH1,7.288888888888889,3.0833333333333335,3
NBF,PEM,0.06904761904761902,-0.15,7
NBF,PEMH1,0.5311025223759154,0.03333333333333333,4916
NBF,PIEH1,-0.18333333333333332,-0.18333333333333332,1
NBF,WAG,-0.05833333333333334,-0.05833333333333334,2
NBF,WAGH1,1.5916666666666668,1.5916666666666668,2
NBF,WIL,3.75,1.0,8
NBN,AA,9.383333333333333,6.583333333333333,11
NBN,ACHS12,17.983333333333334,17.983333333333334,1
NBN,AHO,1.6483007310808142,0.1,1687
NBN,BEH,9.956944444444444,7.691666666666666,12
NBN,BEL,7.096123147092361,4.883333333333334,877
NBN,BELG,6.943521352572511,4.816666666666666,2287
NBN,BF,2.0388888888888888,1.0666666666666667,93
NBN,BF H1,7.35,0.15833333333333335,4
NBN,BF U1,12.033333333333333,12.033333333333333,2
NBN,BLS,1.648777932960894,0.6166666666666667,1432
NBN,BVS,0.5555555555555556,-0.31666666666666665,3
NBN,BVSS12,12.836666666666668,13.05,5
NBN,DOK,6.035442176870749,1.65,245
NBN,DRG,10.034795321637427,6.266666666666667,57
NBN,ED,9.783333333333333,9.783333333333333,1
NBN,EF,1.6362066768603465,0.8,2616
NBN,ENZH1,0.7166666666666667,0.21666666666666667,21
NBN,F,3.826190476190476,3.55,49
NBN,F  H1,0.5847826086956522,-0.05,46
NBN,F  S21,7.231257631257631,5.55,273
NBN,FLD,1.5995495495495495,0.36666666666666664,37
NBN,FLDS12,7.703333333333333,-0.2,5
NBN,GAE,53.333333333333336,53.333333333333336,1
NBN,GAEH2,84.08333333333333,84.08333333333333,1
NBN,GEFS31,1.6679245283018869,1.2916666666666667,106
NBN,GR,0.718452380952381,-0.025,28
NBN,GR S11,1.7804329004329005,0.5833333333333334,385
NBN,HIMS11,23.429166666666667,23.15833333333333,4
NBN,HUI,0.95,0.95,1
NBN,KO,3.7206349206349203,2.6,21
NBN,KO A1A,2.6352196173538127,0.9833333333333333,1237
NBN,KO H2,-0.575,-0.575,2
NBN,LB,1.621794871794872,0.9833333333333333,13
NBN,LB S12,0.387037037037037,-0.21666666666666667,9
NBN,LDFH1,0.2372549019607843,0.25,17
NBN,LG H1,15.646296296296295,10.65,36
NBN,LGF,22.62666666666667,8.816666666666666,5
NBN,MAT,1.8083333333333336,1.8083333333333336,2
NBN,MD,-1.0,-1.0,1
NBN,MD S12,10.17530864197531,5.808333333333334,54
NBN,MI,1.9375,1.3083333333333333,4
NBN,MLX,3.7185111989459814,1.4666666666666666,253
NBN,NBN,2.2333333333333334,2.2333333333333334,1
NBN,NH,27.05833333333333,23.858333333333334,4
NBN,NW,4.4,4.4,1
NBN,NW H2,2.993040293040293,1.2666666666666666,1547
NBN,NW H3,2.6377575757575755,1.8,550
NBN,NW S31,3.2179309652819588,1.6333333333333333,1661
NBN,NWI,0.95,0.95,1
NBN,O,7.216666666666667,7.216666666666667,1
NBN,OF,1.717061143984221,0.85,169
NBN,PT,0.8135658914728682,0.43333333333333335,301
NBN,R,28.868518518518517,31.083333333333332,9
NBN,R  A1,21.0,21.0,1
NBN,R  H1H,4.416666666666667,4.416666666666667,1
NBN,REN,24.76666666666667,32.36666666666667,3
NBN,S,6.147908496732026,1.2,510
NBN,SI H2,16.39666666666667,13.75,5
NBN,STRS21,4.33469069870939,2.9833333333333334,749
NBN,SU,3.2502331002331,1.7333333333333334,143
NBN,SU H1,13.533333333333333,15.016666666666667,3
NBN,SUES21,11.371014492753625,7.533333333333333,23
NBN,SUM,3.9166666666666665,3.9166666666666665,1
NBN,SUW,5.996899224806202,4.741666666666667,86
NBN,TAT,-0.375,-0.375,2
NBN,TATH1,-0.8,-0.8,1
NBN,TFN,2.4577281191806333,2.25,179
NBN,TI,5.427777777777778,0.0,6
NBN,TI K1,0.4223722709880711,0.1,2962
NBN,WBB,6.473460721868365,3.25,157
NBN,WG,8.35,8.35,1
NBN,WG S21,7.75,7.75,1
NBN,WOL,1.2708333333333335,1.4083333333333334,4
NBN,WP,3.0100000000000002,0.6333333333333333,5
NBN,WSP,2.0722222222222224,0.65,3
NBN,ZD,4.508802308802308,1.6,462
NBS,GLO,1.4314102564102564,0.7916666666666666,26
NBS,GLOH1,-0.5,-0.5,1
NBS,GLOS21,1.6403696051423324,0.36666666666666664,1452
NBS,MFL,51.65,51.65,1
NBS,MZG,-0.3556547619047619,-0.7666666666666666,56
NBS,NEKS11,49.083333333333336,49.083333333333336,1
NBS,TBV,23.9,23.9,1
NBS,TN S21,11.733333333333333,11.733333333333333,1
NBS,VBO,48.016666666666666,48.016666666666666,1
ND,HE,111.93333333333334,111.93333333333334,1
ND,ND G,1.1333333333333333,1.1333333333333333,1
ND G,FK H1N,2.2478333333333333,1.4166666666666667,1400
ND G,STIG,5.429166666666667,1.8000000000000003,8
ND G,TO,4.741666666666666,4.741666666666666,2
ND H1,LIR,108.7,108.7,1
NEK,ENZH1,34.666666666666664,34.666666666666664,1
NEKS12,MLX,-0.1,-0.1,1
NEKS12,NBS,2.15,2.65,3
NEKS12,NW S31,2.683333333333333,2.683333333333333,1
NEL,LS,5.808333333333334,5.808333333333334,2
NEL,LS G,8.466666666666667,8.466666666666667,1
NENH1,UF H1,0.009711286089238847,-0.3,127
NESU1,MZS,1.435759493670886,0.9083333333333333,158
NESU1,STL,0.7,0.5583333333333333,4
NET,LZW,-0.1875,-0.5416666666666666,4
NETH1,LZW,9.516666666666667,9.516666666666667,1
NEU,LZW,4.316666666666666,4.316666666666666,2
NEU,NEU,-26.097619047619048,-30.0,7
NEU,WE S92,1.0526315789473684,0.6666666666666666,19
NEUH1P,BRUG,0.9833333333333333,0.9833333333333333,1
NEW,BRO,0.20818080976150857,-0.5666666666666667,601
NEW,BRU,3.144047619047619,2.1333333333333333,14
NEW,BRUG,1.5298294144767173,0.9333333333333333,1446
NEW,NEUH1P,0.4166666666666667,0.4166666666666667,1
NEW,PA,-2.816666666666667,-2.816666666666667,1
NEW,PAV,1.0533333333333332,1.4,5
NEW,PRAA1,0.7386292834890965,0.1,107
NEW,RD,0.7294486215538847,0.21666666666666667,133
NEW,SCE,1.25758547008547,-0.058333333333333334,156
NF,AH,22.633333333333333,22.633333333333333,1
NF,AW S41,17.515740740740743,16.791666666666668,18
NF,GM,31.966666666666665,31.966666666666665,1
NF,KEN,1.35,1.35,2
NF,KENH2,19.15,19.15,2
NF,KRV,6.800000000000001,6.800000000000001,2
NF,KZ S21,1.0259111818825195,0.21666666666666667,1884
NF,MOSH3,97.06666666666666,97.06666666666666,1
NF,NF S11,1.0166666666666666,1.0166666666666666,1
NF,OA H1,5.416666666666667,5.416666666666667,1
NF,PUE,2.1166666666666667,2.1166666666666667,1
NF,TFD,0.9,0.9,1
NF,TFDH2,42.78333333333333,42.78333333333333,2
NF,TFN,2.7428868120456906,1.7666666666666666,321
NF,TRAH2,0.11666666666666667,0.11666666666666667,1
NF,TU,1.1996436928313126,0.55,3134
NF,VN,0.21666666666666665,0.25,3
NF,VN H1,0.7160394265232976,0.058333333333333334,2976
NF,ZN,10.183333333333334,10.183333333333334,1
NF S11,GM,-0.5,-0.5,1
NF S11,VN H1,0.13333333333333333,0.13333333333333333,1
NF S12,NF,2.716666666666667,2.716666666666667,2
NG,AHO,0.4833333333333334,-0.3,3
NG,ENZH1,9.101851851851853,6.966666666666667,9
NG,F  H1,1.7333333333333334,1.7333333333333334,1
NG,F  S21,3.7339743589743586,1.9666666666666668,26
NG,GAE,9.244444444444445,7.9,3
NG,GEFS31,4.772222222222222,5.133333333333334,3
NG,GR,8.3,8.3,1
NG,GR S11,2.807142857142857,0.55,7
NG,KO A1A,2.7055555555555553,0.8166666666666667,15
NG,KRV,11.694444444444445,1.3333333333333333,3
NG,LDFH1,5.388888888888888,5.0,3
NG,NW H2,10.561111111111112,13.6,3
NG,NW H3,1.15,1.15,2
NG,NW S31,1.7399999999999998,1.5333333333333334,5
NG,ON,5.7969135802469145,2.283333333333333,27
NG,S,0.9,0.13333333333333333,3
NG,SI H2,19.816666666666666,19.816666666666666,1
NG,STRS21,6.116666666666667,3.6333333333333333,31
NG,WG,10.925,10.925,2
NG,ZD,0.9583333333333334,0.65,4
NGG,AP,-0.65,-1.2333333333333334,10
NGG,BIB,1.0979166666666667,0.3416666666666667,56
NGG,EDL,0.6166666666666667,0.6166666666666667,1
NGG,EDLA2,-0.20964619492656877,-0.6333333333333333,2996
NGG,ELAH1,-0.7166666666666667,-0.7166666666666667,1
NGG,GD H1,0.5090174966352625,-0.6833333333333333,743
NGG,HAR,-0.4152777777777778,-0.4,12
NGG,HKAG,0.8037243947858473,-0.11666666666666667,179
NGG,LS,0.2203548085901027,-0.3333333333333333,1071
NGG,LS G,0.54375,-0.26666666666666666,672
NGG,NGG,-0.2,-0.2,1
NGG,PTTH1,7.1625000000000005,4.191666666666666,4
NGG,SAUH2,-0.33940242763772177,-1.1166666666666667,357
NGG,SGKH1,0.355026455026455,0.058333333333333334,126
NGG,SOP,5.053333333333333,6.3,5
NGG,SOU,6.483333333333333,6.483333333333333,1
NGG,SOUH2,0.6555764411027568,-0.18333333333333332,798
NGG,TAUH1,0.41613588110403393,-0.48333333333333334,628
NH,NBN,0.9333333333333333,0.9333333333333333,2
NH H1,BELG,9.27037037037037,7.783333333333333,54
NI,HAUS11,19.116666666666667,19.116666666666667,1
NI H1,BK,3.014972497249725,1.9166666666666667,1515
NI H1,GMI,1.9666666666666666,0.9333333333333333,7
NI H1,MZS,1.4206666666666665,0.7,75
NI H1,STL,3.0896713615023477,1.1916666666666667,142
NI H1,ZG,0.4,0.4,1
NIF,BC,27.016666666666666,27.016666666666666,1
NIF,MFL,-0.4666666666666667,-0.4666666666666667,1
NIF,OF,19.433333333333334,19.433333333333334,1
NIF,UR,4.1,4.1,1
NIFG,BC,3.1666666666666665,3.1666666666666665,1
NIFG,BELG,-3.6,-3.6,1
NIFG,BL,1.4396774193548387,0.6,155
