zugnummer,betriebstag,abfahrtzeit_soll,abfahrtzeit_ist,start_betriebsstelle,ankunftzeit_soll,ankunftzeit_ist,ziel_betriebsstelle,fahrzeit_delta,abfahrt_verspaetung_min,ankunft_verspaetung_min
5431,2025-12-20,2025-12-20T18:15:54+0100,2025-12-20T19:21:42+0100,KLA,2025-12-20T19:19:00+0100,2025-12-20T20:17:53+0100,WT,-00:06:55,65.8,58.88333333333333
13405,2025-12-20,2025-12-20T21:11:19+0100,2025-12-20T22:24:14+0100,SB G,2025-12-20T21:14:19+0100,2025-12-20T22:27:44+0100,SBJ,00:00:30,72.91666666666667,73.41666666666667
143,2025-12-21,2025-12-21T10:01:42+0100,2025-12-21T11:02:40+0100,OW,2025-12-21T11:25:00+0100,2025-12-21T12:08:00+0100,HE,-00:17:58,60.96666666666667,43.0
164,2025-12-21,2025-12-21T09:50:00+0100,2025-12-21T10:45:55+0100,GMI,2025-12-21T18:00:00+0100,2025-12-21T19:02:41+0100,BC,00:06:46,55.916666666666664,62.68333333333333
253,2025-12-21,2025-12-21T15:46:00+0100,2025-12-21T17:44:30+0100,BPA,2025-12-21T16:47:50+0100,2025-12-21T18:50:14+0100,OF,00:03:54,118.5,122.4
333,2025-12-21,2025-12-21T12:59:30+0100,2025-12-21T15:11:35+0100,HDV,2025-12-21T13:06:00+0100,2025-12-21T15:21:34+0100,SMR,00:03:29,132.08333333333334,135.56666666666666
415,2025-12-21,2025-12-21T02:11:28+0100,2025-12-21T03:30:01+0100,SBM,2025-12-21T06:42:00+0100,2025-12-21T07:09:06+0100,JS,-00:51:27,78.55,27.1
490,2025-12-21,2025-12-21T20:12:00+0100,2025-12-21T21:13:07+0100,MLX,,2025-12-22T00:06:45+0100,PAG,,61.11666666666667,0.0
791,2025-12-21,2025-12-21T09:08:39+0100,2025-12-21T10:12:39+0100,SBM,2025-12-21T11:25:55+0100,2025-12-21T12:35:00+0100,GU Z2,00:05:05,64.0,69.08333333333333
862,2025-12-21,2025-12-21T12:30:00+0100,2025-12-21T13:37:27+0100,MLX,2025-12-21T19:15:24+0100,2025-12-21T20:24:21+0100,LATH1,00:01:30,67.45,68.95
1033,2025-12-21,2025-12-21T12:16:00+0100,2025-12-21T14:40:00+0100,BPA,2025-12-21T14:16:07+0100,2025-12-21T16:36:55+0100,NIFG,-00:03:12,144.0,140.8
1068,2025-12-21,2025-12-21T19:39:00+0100,2025-12-21T20:46:25+0100,HE,2025-12-21T20:24:56+0100,2025-12-21T21:21:34+0100,OF,-00:10:47,67.41666666666667,56.63333333333333
